period,treatement,treatdate,individual,npts,iP1,tP1,vP1,sS1,iS1,tS1,vS1,vP2,iP2,tP2,sS2,iS2,tS2,vS2,vT1,tT1,iT1,vT2,tT2,iT2,iZC1,tZC1,vZC1,sZC1,aP0,vP0,iP0,tP0,decay_a,decay_tau,decay_b,iZC2,tZC2,vZC2,sZC2,aP1,aP2,Fmax,Pmax,Flow,Plow,Fhigh,Phigh,Bndwidth
ACC,T8,19-Jun,61.2,2048.000000,1024.000000,0.000000,0.418954,238.916985,1017.000000,-0.028014,0.316211,-0.745321,1043.000000,0.076037,-1351.967465,1034.000000,0.040020,-0.132402,-0.006561,-0.440215,914.000000,-0.003544,0.260127,1089.000000,954.000000,-0.280137,-0.000446,10.255260,-2.254847,-0.021268,103.000000,-0.368180,-0.917752,33.338461,0.001053,1033.000000,0.036018,-0.027320,-1337.497133,0.000035,-0.000047,3906.250000,0.000000,1342.773438,-3.253335,6347.656250,-3.070216,5004.882812
ACC,T8,20-Jun,61.2,2048.000000,1024.000000,0.000000,0.433770,243.614333,1017.000000,-0.028014,0.328229,-0.775078,1043.000000,0.076037,-1390.089035,1034.000000,0.040020,-0.119663,-0.006600,-0.448219,912.000000,-0.004013,0.264129,1090.000000,953.000000,-0.284139,-0.000878,10.442715,-2.434163,-0.022157,104.000000,-0.368180,-0.997803,32.548272,0.001822,1033.000000,0.036018,-0.012605,-1366.497769,0.000036,-0.000050,3784.179688,0.000000,1342.773438,-3.137046,6347.656250,-3.189137,5004.882812
ACC,T8,21-Jun,61.2,2048.000000,1024.000000,0.000000,0.421173,232.617089,1016.000000,-0.032016,0.306062,-0.752043,1043.000000,0.076037,-1355.818711,1034.000000,0.040020,-0.139289,-0.006006,-0.456223,910.000000,-0.003922,0.260127,1089.000000,953.000000,-0.284139,-0.000037,9.019374,-2.432996,-0.021747,102.000000,-0.376184,-0.925107,32.843695,0.001983,1033.000000,0.036018,-0.033282,-1344.508274,0.000036,-0.000048,3784.179688,0.000000,1342.773438,-3.145936,6347.656250,-3.175408,5004.882812
ACC,T8,22-Jun,61.2,2048.000000,1024.000000,0.000000,0.462591,261.567102,1017.000000,-0.028014,0.351339,-0.834759,1043.000000,0.076037,-1487.327294,1034.000000,0.040020,-0.129540,-0.007264,-0.448219,912.000000,-0.003909,0.248121,1086.000000,953.000000,-0.284139,-0.000691,10.995077,-2.540021,-0.022830,104.000000,-0.368180,-1.041680,32.578255,0.006265,1033.000000,0.036018,-0.015609,-1456.785949,0.000039,-0.000053,3906.250000,0.000000,1342.773438,-3.282204,6347.656250,-3.120130,5004.882812
ACC,T8,23-Jun,61.2,2048.000000,1024.000000,0.000000,0.425974,238.176606,1016.000000,-0.032016,0.309511,-0.760445,1043.000000,0.076037,-1356.416160,1034.000000,0.040020,-0.138689,-0.006239,-0.452221,911.000000,-0.004173,0.260127,1089.000000,953.000000,-0.284139,-0.000499,10.584169,-2.338110,-0.021029,103.000000,-0.372182,-0.937519,32.724950,0.002268,1033.000000,0.036018,-0.033022,-1343.241200,0.000036,-0.000049,3784.179688,0.000000,1342.773438,-3.194531,6347.656250,-3.184095,5004.882812
ACC,T8,24-Jun,61.2,2048.000000,1024.000000,0.000000,0.456933,256.064805,1016.000000,-0.032016,0.327819,-0.818769,1043.000000,0.076037,-1457.185283,1034.000000,0.040020,-0.123180,-0.006991,-0.452221,911.000000,-0.004011,0.256125,1088.000000,953.000000,-0.284139,-0.000255,10.506733,-2.525077,-0.022485,103.000000,-0.372182,-1.033055,32.264774,0.005469,1033.000000,0.036018,-0.011388,-1430.195020,0.000039,-0.000052,3784.179688,0.000000,1342.773438,-3.228184,6347.656250,-3.178285,5004.882812
ACC,T8,4-Jun,61.2,2048.000000,1024.000000,0.000000,0.437084,249.743295,1017.000000,-0.028014,0.328626,-0.813187,1041.000000,0.068033,-1546.012662,1033.000000,0.036018,-0.129807,-0.006967,-0.420205,919.000000,-0.001683,0.220107,1079.000000,957.000000,-0.268131,-0.000037,10.415182,-2.187489,-0.021098,106.000000,-0.344168,-1.039176,31.490720,0.019374,1032.000000,0.032016,-0.010606,-1523.389428,0.000035,-0.000049,4028.320312,0.000000,1342.773438,-3.621196,6591.796875,-3.024386,5249.023438
ACC,T8,5-Jun,61.2,2048.000000,1024.000000,0.000000,0.485022,288.659925,1018.000000,-0.024012,0.378282,-0.888579,1042.000000,0.072035,-1698.440635,1033.000000,0.036018,-0.130268,-0.007274,-0.432211,916.000000,-0.000372,0.212104,1077.000000,955.000000,-0.276135,-0.000130,10.732817,-2.357941,-0.022125,103.000000,-0.364178,-1.111313,33.046421,0.023165,1032.000000,0.032016,0.000805,-1670.361210,0.000039,-0.000053,4028.320312,0.000000,1342.773438,-3.677754,6591.796875,-3.013359,5249.023438
ACC,T8,7-Jun,61.2,2048.000000,1024.000000,0.000000,0.468036,270.107767,1017.000000,-0.028014,0.352323,-0.820081,1042.000000,0.072035,-1489.827941,1033.000000,0.036018,-0.059396,-0.007303,-0.468229,907.000000,-0.002175,0.236115,1083.000000,949.000000,-0.300147,-0.000045,9.242976,-2.555286,-0.023180,102.000000,-0.392191,-1.115955,29.342098,0.018160,1032.000000,0.032016,0.052578,-1439.660553,0.000039,-0.000053,3784.179688,0.000000,1342.773438,-3.141356,6225.585938,-3.100551,4882.812500
EXPT,T8,24-Jun,61.2,2048.000000,1024.000000,0.000000,0.456933,256.064805,1016.000000,-0.032016,0.327819,-0.818769,1043.000000,0.076037,-1457.185283,1034.000000,0.040020,-0.123180,-0.006991,-0.452221,911.000000,-0.004011,0.256125,1088.000000,953.000000,-0.284139,-0.000255,10.506733,-2.525077,-0.022485,103.000000,-0.372182,-1.033055,32.264774,0.005469,1033.000000,0.036018,-0.011388,-1430.195020,0.000039,-0.000052,3784.179688,0.000000,1342.773438,-3.228184,6347.656250,-3.178285,5004.882812
EXPT,T8,25-Jun,61.2,2048.000000,1024.000000,0.000000,0.433273,236.564814,1016.000000,-0.032016,0.314101,-0.772434,1043.000000,0.076037,-1388.795246,1034.000000,0.040020,-0.133680,-0.006445,-0.472231,906.000000,-0.004331,0.276135,1093.000000,950.000000,-0.296145,-0.000538,9.664346,-2.534623,-0.021648,101.000000,-0.392191,-1.007256,33.213426,-0.001146,1033.000000,0.036018,-0.025556,-1375.810199,0.000037,-0.000050,3784.179688,0.000000,1220.703125,-3.747125,6225.585938,-3.117686,5004.882812
EXPT,T8,26-Jun,61.2,2048.000000,1024.000000,0.000000,0.428892,226.953111,1016.000000,-0.032016,0.315215,-0.762181,1043.000000,0.076037,-1364.422030,1034.000000,0.040020,-0.122249,-0.006779,-0.504246,898.000000,-0.003998,0.272133,1092.000000,945.000000,-0.316154,-0.000041,7.910199,-2.789327,-0.022780,99.000000,-0.420205,-1.006175,32.826530,0.000012,1033.000000,0.036018,-0.016742,-1344.463627,0.000037,-0.000050,3540.039062,0.000000,1220.703125,-3.599069,6103.515625,-3.147430,4882.812500
